both,lidar,radar
0.0828043,0.0828043,0.0828043
0.000386525,0.000386525,0.000386525
17.6395,17.6395,17.6395
1,1,1
0.00429471,0.12388,0.00429471
0.000157497,0.00045889,0.000157497
1.51196,8.81894,1.51196
1.02682,0.498205,1.02682
0.000107306,8.58E-05,1.10E-05
4.24E-06,0.00339106,0.00265881
2.66238,1.36172,1.00834
0.195918,0.133544,0.68112
0.0150957,0.00180711,0.0228799
0.000342906,0.00439865,0.00282937
0.0451168,1.02175,0.0787982
0.777383,0.10187,0.756181
0.00810878,0.000396469,0.0218584
0.000663174,3.33E-05,7.69E-05
0.00601864,0.282384,0.0629068
0.457983,0.0123867,0.599959
0.00351821,0.00180046,0.010688
6.40E-05,7.89E-08,0.000212825
0.00238434,0.23561,0.000633057
0.113149,0.00959136,0.186919
0.00149995,0.000708223,0.00938528
0.000513121,0.000168226,4.10E-05
0.00662111,0.0887521,0.000527148
0.0741321,0.0155283,0.156976
0.00199886,0.00150764,0.00964597
0.00061775,0.000318614,0.000143706
0.000144629,0.0778647,0.00222698
0.0463512,0.0125729,0.102762
0.00120321,0.000224095,0.00899092
0.00097089,0.000406292,0.000691384
0.000699833,0.0203615,0.0019434
0.0318845,0.00894111,0.0884799
0.000731991,0.000439816,0.00497499
0.000666464,0.000551316,0.000454026
0.000843241,0.0184466,8.62E-07
0.0117847,0.00715936,0.032469
0.000903252,0.000317209,0.00451646
0.000689147,0.000237265,0.00082781
0.00034983,7.34E-06,1.89E-06
0.00811352,0.0018212,0.0276946
0.000361596,0.000295111,0.00170112
1.64E-05,0.000277176,7.50E-06
0.000988681,4.25E-06,0.000984558
0.000487217,0.00123831,0.000127942
1.34E-05,0.000234734,0.00145282
0.000235916,0.00115507,9.15E-06
0.00330037,0.00741469,0.000944027
0.0101863,0.012854,2.43E-05
6.13E-06,0.000357855,0.000511152
0.000140694,0.00147208,9.59E-06
0.00526296,0.0069896,0.00381823
0.00557404,0.0133258,3.63E-05
6.66E-05,0.000430132,0.000355402
0.000251132,0.000971067,6.45E-06
0.00558905,0.00597621,0.00364534
0.00665409,0.00764107,0.000149967
5.54E-05,0.000567876,0.000227152
0.000169887,0.00119517,2.78E-06
0.00136469,0.00571334,0.000954018
0.00436703,0.00833451,0.000544392
9.75E-05,0.000751864,0.000172026
6.74E-06,8.94E-06,9.82E-08
4.06E-06,0.00435543,0.000946174
1.26E-05,0.00011797,0.000870903
0.000125209,0.000890778,0.000142091
1.51E-06,1.06E-05,2.10E-05
0.00101652,0.00400414,0.000258529
0.000655202,1.20E-05,0.00265582
